Player,Rating,Goals+Assist,Salaries(euros),Age
Rodri,8.12,17,13764697,28
Bukayo Saka,7.97,25,12200527,23
Phil Foden,7.83,27,14077531,24
Bruno Fernandes,7.83,18,15016033,30
Cole Palmer,7.78,33,5005344,22
Michael Olise,7.71,16,6256681,23
Declan Rice,7.66,15,15016033,25
Bruno Guimaraes,7.65,15,8320000,27
Erling Haaland,7.64,32,23462552,24
Mohamed Salah,7.64,28,21898382,32
Martin Ødegaard,7.64,18,15016033,26
Eberechi Eze,7.60,15,6256681,26
James Maddison,7.59,13,10636357,28
Bernardo Silva,7.57,15,18770042,30
Trent Alexander-Arnold,7.57,7,11262025,26
Josko Gvardiol,7.53,5,12513361,22
Anthony Gordon,7.51,21,3754008,23
Alexis Mac Allister,7.51,10,9385021,26
Conor Gallagher,7.50,12,3128340,24
Heung-Min Son,7.5,27,9880000,32
Andrew Robertson,7.48,5,10010689,30
Julián Álvarez,7.47,20,6256681,24
Pascal Gross,7.47,14,3380000,33
Ollie Watkins,7.40,32,8133685,29
Mohammed Kudus,7.39,14,5631013,24
Virgil van Dijk,7.39,4,13764697,33
Pedro Porro,7.38,10,5318178,25
James Ward-Prowse,7.37,14,7195183,30
Alexander Isak,7.37,23,7508017,25
Kyle Walker,7.36,4,10949191,34
Kieran Trippier,7.35,11,7508017,34
Cristian Romero,7.32,5,10323523,26
Ross Barkley,7.32,9,1877004,31
Jérémy Doku,7.32,11,3128340,22
Manuel Akanji,7.31,2,11262025,29
Lucas Paquetá,7.31,10,9385021,27
Luis Diaz,7.31,13,2860000,27
Pedro Neto,7.30,11,3128340,24
Kai Havertz,7.30,20,17518706,25
Matheus Cunha,7.29,19,3754008,25
Dominik Szoboszlai,7.28,5,7508017,24
Ben White,7.28,8,9385021,27
Douglas Luiz,7.28,14,4692510,26
Nathan Aké,7.27,4,10010689,29
William Saliba,7.27,3,11887693,23
Christian Nørgaard,7.26,3,2189838,30
Diogo Jota,7.25,13,8759353,28
