Player,Rating,Goals+Assist,Salaries
Rodri,8.12,,13764697
Bukayo Saka,7.97,,12200527
Phil Foden,7.83,,14077531
Bruno Fernandes,7.83,,15016033
Cole Palmer,7.78,,5005344
Michael Olise,7.71,,6256681
Declan Rice,7.66,,15016033
Bruno Guimaraes,7.65,,Not Found
Erling Haaland,7.64,,23462552
Mohamed Salah,7.64,,21898382
Martin Ødegaard,7.64,,15016033
Eberechi Eze,7.60,,6256681
James Maddison,7.59,,10636357
Bernardo Silva,7.57,,18770042
Trent Alexander-Arnold,7.57,,11262025
Josko Gvardiol,7.53,,12513361
Anthony Gordon,7.51,,3754008
Alexis Mac Allister,7.51,,9385021
Conor Gallagher,7.50,,3128340
Heung-Min Son,7.5,,Not Found
Andrew Robertson,7.48,,10010689
Julián Álvarez,7.47,,6256681
Pascal Gross,7.47,,Not Found
Ollie Watkins,7.40,,8133685
Mohammed Kudus,7.39,,5631013
Virgil van Dijk,7.39,,13764697
Pedro Porro,7.38,,5318178
James Ward-Prowse,7.37,,7195183
Alexander Isak,7.37,,7508017
Kyle Walker,7.36,,10949191
Kieran Trippier,7.35,,7508017
Cristian Romero,7.32,,10323523
Ross Barkley,7.32,,1877004
Jérémy Doku,7.32,,3128340
Manuel Akanji,7.31,,11262025
Lucas Paquetá,7.31,,9385021
Luis Diaz,7.31,,Not Found
Pedro Neto,7.30,,3128340
Kai Havertz,7.30,,17518706
Matheus Cunha,7.29,,3754008
Dominik Szoboszlai,7.28,,7508017
Ben White,7.28,,9385021
Douglas Luiz,7.28,,4692510
Nathan Aké,7.27,,10010689
William Saliba,7.27,,11887693
Christian Nørgaard,7.26,,2189838
Diogo Jota,7.25,,8759353
Jarrod Bowen,7.25,,9385021
Morgan Gibbs-White,7.24,,5005344
Idrissa Gana Gueye,7.24,,Not Found
Bryan Mbeumo,7.23,,2815506
Kaoru Mitoma,7.23,,5005344
Gabriel,7.22,,16580203
Oleksandr Zinchenko,7.22,,9385021
Diogo Dalot,7.20,,5318178
Marcos Senesi,7.20,,3128340
John McGinn,7.19,,7508017
Mario Lemina,7.18,,2815506
Harry Maguire,7.18,,11887693
Nicolas Jackson,7.18,,4066842
Antonee Robinson,7.17,,3128340
Alfie Doughty,7.16,,469251
Ibrahima Konaté,7.16,,4379676
Casemiro,7.16,,21898382
Dwight McNeil,7.16,,1564170
Darwin Nunez,7.16,,Not Found
Jefferson Lerma,7.15,,4379676
Joao Palhinha,7.15,,Not Found
James Garner,7.15,,1877004
Leon Bailey,7.14,,7508017
Ruben Dias,7.14,,Not Found
Josh Cullen,7.13,,2502672
Malo Gusto,7.13,,2815506
James Tarkowski,7.13,,6256681
Jarrad Branthwaite,7.12,,2189838
Dejan Kulusevski,7.12,,6882349
Micky van de Ven,7.12,,3128340
Sergio Reguilon,7.12,,Not Found
Chiedozie Ogbene,7.10,,938502
Levi Colwill,7.10,,6256681
Lewis Cook,7.10,,2502672
Noni Madueke,7.10,,3128340
Gabriel Martinelli,7.09,,11262025
Alejandro Garnacho,7.09,,3128340
Destiny Udogie,7.09,,4692510
Mateo Kovacic,7.09,,9385021
Simon Adingra,7.09,,782085
Pape Sarr,7.08,,4379676
Brennan Johnson,7.08,,4379676
Marcus Tavernier,7.08,,2189838
Vitaly Janelt,7.08,,1877004
Ryan Christie,7.08,,4379676
Yoane Wissa,7.07,,1564170
Tyrick Mitchell,7.07,,2502672
Willy Boly,7.07,,2502672
Vitalii Mykolenko,7.06,,Not Found
Alex Iwobi,7.06,,5005344
Yves Bissouma,7.06,,3441174
Boubacar Kamara,7.06,,9385021
